Date,Ticker,Open,High,Low,Close,Volume
2024-05-19,Development Bank Index,4151,4152.04,4075.57,4143.66,326961943.3
2024-05-19,Trading Index,2713.81,2760.65,2713.81,2722.59,6705884
2024-05-19,Finance Index,2131.68,2148.13,2104.11,2126.43,443858502.3
2024-05-19,Non Life Insurance,10710.99,11131.79,10690.86,11023.08,559240559.8
2024-05-19,Life Insurance,10169.13,10485.71,10052.39,10434.94,575401407.7
2024-05-19,HydroPower Index,2433.86,2445.68,2405.61,2445.68,920967342.5
2024-05-19,Microfinance Index,4579.77,4601.06,4504.83,4598.95,1135981458
2024-05-19,Nepse Index,2044.81,2068.91,2028.15,2064.45,5251024787
2024-05-19,Banking SubIndex,1069.25,1082.82,1059.35,1079.09,379767913.6
2024-05-20,Trading Index,2722.59,2792.42,2722.59,2783.42,19520931.6
2024-05-20,Hotels And Tourism,5139.97,5218.73,5139.97,5154.95,99745162.3
2024-05-20,Others Index,1668.24,1686.31,1664.43,1669.14,171697203.3
2024-05-20,Non Life Insurance,11023.08,11176.58,10948.25,10966.98,296726550
2024-05-20,Manufacturing And Processing,6553.51,6608.62,6497.65,6497.65,337085253.9
2024-05-20,Life Insurance,10464.9,10611.53,10382.22,10426.57,352683669.7
2024-05-20,Mutual Fund,18.4,18.64,18.4,18.63,9694145.09
2024-05-20,Development Bank Index,4138.35,4212.32,4130.63,4162.52,414328695.3
2024-05-20,Finance Index,2128.94,2140.21,2106.2,2114.13,498428588.5
2024-05-20,Banking SubIndex,1084.77,1145.29,1084.77,1124.29,780477711.2
2024-05-20,Microfinance Index,4603.67,4675.06,4547.71,4568.81,1158784724
2024-05-20,HydroPower Index,2449.75,2490.39,2449.75,2479.61,1325279376
2024-05-20,Nepse Index,2069.88,2119.89,2069.88,2092,5854354212
2024-05-20,Investment,75.36,77.24,75.13,76.75,379307762.1
2024-05-21,Trading Index,2783.42,2827.5,2748.15,2768.45,10068531.4
2024-05-21,Mutual Fund,18.63,18.69,18.53,18.69,11007749.06
2024-05-21,Hotels And Tourism,5160.69,5200.27,5145.52,5169.4,78367369.6
2024-05-21,Others Index,1669.68,1681.54,1655.04,1676.05,104015675.8
2024-05-21,Non Life Insurance,10966.98,11041.28,10881.8,10996.6,140804865.9
2024-05-21,Development Bank Index,4162.52,4188.94,4142.13,4150.28,201247135.7
2024-05-21,Manufacturing And Processing,6497.65,6551.75,6490.3,6508.17,210354277.5
2024-05-21,Life Insurance,10441.52,10483.77,10310.02,10445.75,265702011.2
2024-05-21,Banking SubIndex,1130.07,1144.28,1117.69,1144.28,455082986.5
2024-05-21,Finance Index,2112.03,2199.03,2108.81,2189.28,715982691.7
2024-05-21,Microfinance Index,4563.24,4644.2,4535.01,4636.41,909277087.1
2024-05-21,HydroPower Index,2483.41,2533.19,2472.2,2533.19,1742311689
2024-05-21,Nepse Index,2095.56,2118.26,2081.11,2115.94,5206208112
2024-05-21,Investment,76.84,77.89,76.17,77.45,326799903.4
2024-05-22,Development Bank Index,4142.01,4215.41,4133.03,4164,262885630.4
2024-05-22,Mutual Fund,18.69,18.77,18.6,18.76,8169852.7
2024-05-22,Others Index,1689.99,1689.99,1651.5,1665.66,192913228.7
2024-05-22,Non Life Insurance,10996.6,11023.98,10919.42,10929.97,203664026.6
2024-05-22,Hotels And Tourism,5161.15,5338.2,5157.99,5267.74,206612957.4
2024-05-22,Manufacturing And Processing,6522.27,6566.85,6481.47,6498,268804774.2
2024-05-22,Trading Index,2768.45,2799.3,2733.18,2767.53,4409496.2
2024-05-22,Investment,77.45,77.87,76.94,77.3,306749951.2
2024-05-22,Finance Index,2198.55,2212.58,2153.17,2159.85,597402943.9
2024-05-22,Microfinance Index,4639.14,4667.21,4562.43,4585.34,1064350200
2024-05-22,Banking SubIndex,1141.44,1197.96,1140.37,1192.73,1072427190
2024-05-22,HydroPower Index,2536.31,2545.93,2497.73,2510.65,1213264241
2024-05-22,Nepse Index,2116.71,2140.02,2109.24,2131.49,5687680913
2024-05-22,Life Insurance,10432.13,10514.71,10355.46,10384.04,270780755.7
2024-05-26,Trading Index,2767.53,2789.5,2733.3,2733.3,4959908.2
2024-05-26,Mutual Fund,18.76,18.82,18.72,18.8,6316532
2024-05-26,Others Index,1669.51,1675.45,1650.77,1650.81,98706426.2
2024-05-26,Non Life Insurance,10929.97,10968.77,10796.24,10818.57,159309186.8
2024-05-26,Manufacturing And Processing,6516.12,6546.32,6440.92,6441.62,211558406.5
2024-05-26,Finance Index,2162.42,2162.42,2112.44,2112.44,243324115.1
2024-05-26,Development Bank Index,4147.1,4180.88,4115.36,4115.36,245454778.5
2024-05-26,Investment,77.31,77.43,76.2,76.21,290643142
2024-05-26,Life Insurance,10391.99,10437.21,10290.86,10300.59,314693742.1
2024-05-26,Hotels And Tourism,5285.73,5479.12,5273.9,5445.39,344042159.7
2024-05-26,Banking SubIndex,1196.21,1206.17,1173.74,1182.23,738466086
2024-05-26,Microfinance Index,4608.98,4615.12,4481.45,4503.65,841257134.7
2024-05-26,HydroPower Index,2510.91,2512.03,2461.7,2469.88,932832310.7
2024-05-26,Nepse Index,2135.22,2141.25,2106.44,2109.34,4441538472
2024-05-27,Trading Index,2733.3,2779.58,2729.61,2739.52,5380894
2024-05-27,Mutual Fund,18.8,18.89,18.7,18.89,7850170.43
2024-05-27,Non Life Insurance,10818.57,10882.25,10746.69,10794.03,116180349.6
2024-05-27,Life Insurance,10284.17,10402.46,10246.54,10342.35,182822313.4
2024-05-27,Development Bank Index,4140.57,4162.35,4112.56,4141.29,194151072.8
2024-05-27,Others Index,1653.46,1675.06,1649.78,1661.38,226804113.4
2024-05-27,Hotels And Tourism,5467.05,5508.06,5402.68,5418.67,236460393.7
2024-05-27,Manufacturing And Processing,6441.62,6526.71,6425.33,6492.35,247936684.3
2024-05-27,Finance Index,2113.94,2149.99,2110.96,2142.32,390732385.8
2024-05-27,Banking SubIndex,1183.91,1187.27,1163.51,1173.45,437289779.2
2024-05-27,Investment,76.17,77.85,75.92,77.59,551919436.4
2024-05-27,Microfinance Index,4511.94,4542.42,4488.12,4523.06,561225266.1
